id;portfolio_name;base_currency;is_active;created_date;updated_date
1;Chips Automotive generation;EGP;false;2021-03-30T08:27:27;2021-03-30T02:04:27
2;Spain Bhutan;BYN;false;2021-03-30T08:25:35;2021-03-30T09:58:17
3;Bedfordshire Representative;LBP;true;2021-03-29T22:23:03;2021-03-30T01:25:32
4;protocol optical Associate;MZN;false;2021-03-30T11:10:24;2021-03-29T19:24:01
5;Loaf;MXN;false;2021-03-29T22:53:15;2021-03-30T07:16:38
6;array Handmade feed;JPY;false;2021-03-29T22:14:52;2021-03-29T17:33:09
7;deposit;AED;false;2021-03-29T21:54:33;2021-03-30T02:38:20
8;niches Infrastructure;AMD;true;2021-03-30T12:32:32;2021-03-30T01:05:39
9;intangible front-end overriding;GYD;false;2021-03-30T01:42:44;2021-03-30T14:00:53
10;deposit Vincent maroon;AOA;true;2021-03-29T16:00:10;2021-03-29T20:49:45
