id;quantity;is_open;created_date;updated_date
1;57840;false;2021-03-29T21:52:53;2021-03-30T10:14:16
2;38926;true;2021-03-29T16:28:20;2021-03-29T17:39:31
3;48099;true;2021-03-30T12:42:01;2021-03-29T20:51:56
4;9988;true;2021-03-30T06:26:06;2021-03-29T22:36:07
5;50057;true;2021-03-29T19:50:05;2021-03-30T04:17:25
6;33169;false;2021-03-29T17:08:04;2021-03-29T22:40:08
7;48922;false;2021-03-30T00:05:31;2021-03-30T01:40:29
8;46351;false;2021-03-29T20:53:09;2021-03-30T05:33:17
9;40105;false;2021-03-30T01:28:39;2021-03-29T16:08:33
10;41567;true;2021-03-30T11:46:52;2021-03-30T00:35:42
