id;watchlist_name;is_active;created_date;updated_date
1;Missouri Card;false;2021-03-30T08:14:07;2021-03-29T14:18:06
2;AI payment;false;2021-03-29T16:28:46;2021-03-30T07:44:43
3;Soft;false;2021-03-30T08:59:10;2021-03-30T06:38:03
4;Cotton pink Franc;true;2021-03-29T23:16:07;2021-03-29T14:53:55
5;generate;false;2021-03-30T05:49:16;2021-03-29T19:49:54
6;out-of-the-box orchid firewall;true;2021-03-29T14:28:45;2021-03-30T10:48:33
7;generate Alabama;false;2021-03-29T21:25:58;2021-03-30T11:42:26
8;SCSI Drives Avon;false;2021-03-29T15:07:54;2021-03-30T00:28:21
9;Missouri transmit Peso;true;2021-03-30T12:21:32;2021-03-29T20:57:53
10;synthesize Sausages optical;true;2021-03-29T20:37:08;2021-03-29T15:04:00
